,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
165,-10,-11.6178,-11.9127,-8.53683,-8.24004,-11.0153,-11.3249,-3.47553,-5.19595,-7.65449,-4.205,0.030011,2.502447,2.503588,1.35996,1.743744,1.291444,2.274981,2.545525,0.434495,-0.7994,-2.35661,-3.65083,-4.97545,-5.9515,-8.2189,-14.0919,-6.26083,-8.46956,-7.59227,0.29592,3.706019,5.94334,7.196984,9.052683,10.26834,10.58921,9.903728,9.319296,8.400168,6.905817,4.766729,3.422925,0.753954,-1.57445,-5.62912,-3.79485,0.57431,2.114092,1.671216,0.527974,-1.49958,-2.52653,-2.29996,-5.09348,-5.72319,-5.80481,-7.71426,-3.47529,-0.57743,-2.95725,-4.53192,-3.53441,-1.85681,-1.50221,-1.57294,-5.10936,-7.46376,-7.93612,-8.7824,-8.16344,-14.3953
166,-5,-10.5218,-14.1292,-8.15968,-7.81107,-11.3078,-9.2688,-2.45428,-3.35841,-7.18193,-0.50759,3.754503,4.887408,3.778597,1.316865,2.062427,2.129794,3.30249,2.88864,2.008075,0.50963,-1.11325,-0.89568,-2.73088,-3.3799,-4.09935,-9.28553,-5.55315,-8.02011,-10.8164,-0.23571,4.376353,6.606582,7.788277,9.251385,10.41596,10.52408,9.80894,9.126149,7.957284,5.925374,3.835006,2.695647,-0.09524,-3.17467,-5.45129,-3.67477,-0.02654,0.708623,1.65833,-0.70003,-3.33819,-2.6455,-1.0963,-1.29033,-2.32435,-4.26857,-4.19546,-3.07652,-0.3858,-1.73743,-2.00945,-3.79757,-1.27334,0.059507,-1.40628,-5.05989,-7.57397,-10.2324,-10.1852,-9.37903,-13.9795
167,0,-10.3979,-14.6756,-7.44107,-7.03045,-11.7015,-7.48782,-2.00354,-2.37654,-7.53371,1.764841,5.158588,5.356133,2.939629,-0.80761,0.800632,2.127517,3.340423,2.875381,2.701472,1.448762,0.672325,0.82332,-0.21104,-0.87512,-1.56725,-5.39206,-5.02263,-7.2474,-9.19963,1.614736,4.984017,7.124041,8.406813,9.432805,10.53639,10.52542,9.665083,8.866701,7.727215,5.231932,3.119183,2.148818,-1.11614,-4.03002,-5.35615,-4.88226,-1.28605,0.119596,1.780222,-1.1833,-4.18804,-3.01425,-1.24417,0.381051,-0.209,-1.75502,-2.08455,-2.18336,-2.67431,-2.05612,-2.90708,-4.12746,-1.27781,0.256419,-1.33233,-5.90444,-7.10878,-11.3505,-8.86002,-10.8019,-11.04
168,5,-11.5933,-12.8928,-7.51404,-7.11511,-12.4642,-6.723,-2.01291,-3.22637,-6.32255,2.242844,4.685264,3.828088,-0.82271,-5.02213,-2.47535,1.008807,2.563566,2.644473,2.240915,1.13902,-0.0371,-0.34753,0.180172,-0.20685,-0.91296,-3.83827,-4.57467,-5.99196,-5.37255,1.056181,5.550613,7.66555,8.908237,9.713529,10.57097,10.45501,9.398336,8.504938,7.163972,4.4573,2.675658,0.94596,-1.75181,-4.62231,-5.75417,-6.57449,-2.38577,-0.27301,1.601988,-0.40668,-4.34843,-4.93578,-2.4099,-1.05812,0.091799,-1.1094,-1.06845,-1.72426,-4.93813,-4.04787,-6.3634,-4.12175,-1.8233,-1.07762,-1.71546,-6.80175,-7.2932,-12.7452,-9.97835,-11.7731,-10.8885
169,10,-11.9224,-12.0266,-7.38164,-7.5238,-10.0463,-5.71903,-1.80005,-5.52963,-5.00915,0.846502,2.304815,0.77314,-4.09156,-9.90467,-5.54121,-0.31165,2.358043,1.853846,0.12826,-1.58969,-4.12774,-3.89404,-1.8425,-1.26103,-2.02523,-3.59892,-4.69123,-3.88566,-2.23472,2.44722,6.010982,8.194259,9.399116,10.00432,10.59497,10.29124,8.964719,7.883851,6.215372,3.583971,2.132554,-0.64606,-2.40524,-5.57833,-6.76432,-9.69025,-3.49898,-0.72961,0.925764,-0.45263,-4.47799,-7.19103,-5.26677,-5.30821,-2.03829,-2.11229,-0.91364,-2.75165,-5.09383,-5.39356,-6.75976,-4.61111,-2.4722,-3.1307,-2.93213,-7.0236,-9.74682,-12.3625,-13.227,-12.7034,-12.0233
170,15,-12.2061,-11.4256,-7.6547,-8.06238,-9.61987,-5.8547,-2.7108,-6.76997,-5.19696,-2.89843,-1.60438,-2.12921,-4.96728,-10.0712,-6.68382,-0.56406,1.190086,-1.34105,-4.96868,-9.81089,-10.9905,-10.1417,-6.39108,-3.27984,-3.85362,-3.68239,-3.98653,-1.89337,0.189805,3.886613,6.639564,8.806333,9.850383,10.29744,10.75102,10.26431,8.668562,7.476898,5.470532,3.04383,1.394292,-2.04333,-3.6731,-7.24389,-7.20561,-13.4133,-5.70496,-1.74889,-0.29943,-1.28326,-4.62983,-6.14962,-7.81311,-9.32125,-4.9316,-4.16452,-2.63017,-2.94031,-3.90193,-4.07378,-6.34681,-5.1441,-3.67783,-4.62555,-4.24888,-7.99518,-11.2271,-11.4239,-15.2427,-14.2791,-13.2414
171,20,-12.7357,-11.4637,-9.07134,-9.72294,-9.99687,-7.78396,-4.40025,-6.38851,-6.16319,-8.59445,-5.3678,-4.89579,-7.51354,-10.1449,-8.86109,-1.83688,-2.16634,-7.73121,-13.1489,-9.65362,-8.54818,-7.96031,-9.74145,-6.26125,-5.33448,-3.27201,-2.5024,-0.13452,2.352474,5.093806,7.457399,9.341829,10.36862,10.61044,10.90271,10.10563,8.566269,7.242112,4.873336,2.857777,0.768792,-3.53916,-5.18159,-8.50398,-7.65746,-12.1553,-9.04109,-3.0126,-2.39192,-2.11752,-5.33757,-5.07437,-8.46827,-11.2145,-8.51436,-7.58746,-4.24488,-2.23698,-3.03801,-3.00574,-4.24462,-5.94486,-4.26443,-5.73545,-6.16744,-9.01252,-12.2689,-10.6466,-14.4205,-17.3917,-15.3246
172,25,-12.9587,-12.3157,-10.5845,-12.1886,-10.8583,-10.588,-5.97431,-7.56463,-8.71562,-10.4491,-5.80135,-5.01108,-9.10122,-16.8144,-8.46433,-4.78892,-6.68039,-19.2977,-7.29782,-6.96432,-6.83998,-9.21449,-12.9311,-11.4285,-7.08643,-2.70377,-1.8214,1.092747,3.974253,6.347107,8.26355,9.98104,10.78921,10.82145,11.01938,9.948878,8.383225,6.883047,4.484007,2.551228,-0.00351,-4.78736,-7.08168,-9.03609,-7.31719,-9.72876,-11.9789,-5.13875,-5.07418,-3.10385,-6.31707,-5.00183,-7.51672,-13.6584,-9.42904,-9.74893,-6.52293,-2.92341,-2.2542,-2.54271,-3.20252,-6.44421,-4.79195,-8.98475,-8.08963,-9.96888,-13.8547,-10.8202,-11.7641,-17.7003,-16.3849
173,30,-12.8674,-1.33E+01,-9.95424,-12.4938,-12.3687,-10.3684,-8.33839,-10.1666,-9.39341,-9.01934,-5.53115,-4.0779,-7.99489,-9.67232,-5.55175,-5.18581,-9.18082,-17.8014,-8.51507,-8.15607,-8.15509,-12.5646,-10.4171,-7.87884,-5.19852,-0.78077,-1.58567,2.309006,5.427024,7.401744,9.0432,10.57908,11.17345,11.04157,11.02015,9.865893,8.285648,6.642824,3.713956,1.883568,-0.68385,-6.01275,-8.54533,-8.76065,-6.95749,-9.57882,-13.2238,-8.47645,-7.99247,-4.85351,-6.866,-5.31708,-6.9446,-11.2878,-7.27696,-8.53527,-10.7766,-5.09233,-4.40299,-3.45359,-3.84312,-6.46641,-7.37591,-13.0328,-10.827,-14.9351,-14.6478,-11.1076,-10.5814,-21.4795,-15.3446
174,35,-12.8264,-14.5701,-9.01987,-13.4057,-13.7638,-10.5507,-15.047,-9.84173,-7.48143,-8.42078,-6.65964,-4.90242,-6.87146,-5.42939,-4.93498,-7.64137,-14.3355,-19.1168,-11.6171,-7.08151,-7.09612,-7.27053,-4.35362,-3.10059,-2.08751,-0.13394,-0.77622,3.903617,6.687056,8.338235,9.873061,11.19429,11.61847,11.35246,11.10025,9.974023,8.039731,6.160515,3.118505,1.057176,-1.06116,-7.77216,-9.09622,-8.11774,-6.48329,-10.3992,-14.0524,-14.1326,-12.3496,-7.44228,-7.1951,-6.92349,-7.787,-10.0981,-7.44054,-6.31244,-11.7826,-9.34587,-10.4783,-4.54729,-6.63752,-8.73375,-14.7626,-13.2553,-13.4365,-17.9768,-12.8218,-10.3371,-10.9931,-21.0926,-12.5986
175,40,-12.7207,-13.3405,-9.10068,-15.8952,-14.579,-10.8805,-12.1055,-6.85619,-5.45949,-6.62781,-10.293,-9.16645,-8.95357,-6.31148,-7.1165,-11.38,-12.2852,-11.0312,-8.09707,-6.70485,-5.18259,-5.64045,-2.23433,-1.81624,-1.42341,-0.52158,1.172268,5.660472,7.941244,9.346934,10.78733,11.82714,11.9625,11.57601,11.23978,9.959488,7.883049,5.655172,2.26113,0.139488,-1.35426,-8.05243,-9.06842,-9.27132,-7.04438,-11.8244,-15.073,-13.7253,-17.5575,-11.5374,-9.29542,-7.18373,-8.00914,-8.51226,-8.35255,-7.07913,-9.73862,-14.9639,-14.1288,-6.31664,-9.43981,-9.21066,-11.5714,-16.8013,-18.5662,-16.7089,-13.657,-11.3462,-12.7431,-22.0307,-11.9257
176,45,-11.1455,-13.0013,-9.74755,-14.5478,-18.8682,-10.444,-7.98658,-5.38594,-4.03022,-4.58345,-8.79241,-8.08968,-13.0313,-12.5771,-14.5556,-10.2823,-8.22955,-8.02671,-8.36614,-8.18823,-6.54436,-6.5898,-2.80773,-2.85,-1.58266,1.166716,3.76781,7.206867,9.140859,10.50254,11.67226,12.3636,12.20108,11.79191,11.32792,9.959257,7.725442,5.379694,1.701215,-0.48086,-2.29281,-7.62983,-10.4121,-13.2984,-9.90852,-16.603,-15.5738,-13.1994,-16.7577,-14.0733,-9.05631,-6.71354,-8.28412,-9.7025,-7.72201,-11.9531,-12.2867,-19.4973,-13.2485,-9.13734,-7.86907,-7.49689,-10.7879,-12.3365,-15.551,-15.1751,-16.5296,-13.0735,-17.3736,-20.3209,-13.1175
177,50,-10.4081,-13.1177,-10.497,-12.1873,-17.8225,-10.1413,-6.41476,-5.43767,-3.86396,-3.92026,-5.02372,-4.58321,-10.3195,-10.593,-12.0385,-9.40578,-9.0806,-11.4204,-12.4524,-9.23315,-9.0932,-6.67826,-3.47378,-1.48216,1.717263,4.263504,6.20371,8.72207,10.06064,11.51454,12.32141,12.82961,12.40553,12.09781,11.36311,10.02769,7.667739,5.419038,1.556335,-1.20072,-3.63563,-7.69651,-11.1549,-18.5637,-13.1256,-16.0574,-15.6922,-15.5723,-14.1457,-12.2008,-7.86757,-7.03002,-8.4286,-13.3521,-8.72422,-11.854,-15.7996,-15.4945,-10.2618,-11.242,-6.06279,-5.25872,-8.19662,-8.80417,-10.598,-17.3375,-16.0467,-13.3037,-21.1663,-19.5665,-15.622
178,55,-11.7985,-14.9442,-10.4595,-11.2559,-12.702,-9.00806,-4.46997,-4.67927,-5.39837,-5.4004,-4.21864,-3.98851,-9.28138,-7.98504,-5.36553,-9.03557,-13.0241,-24.2019,-12.4857,-10.3177,-8.13466,-4.56026,-2.19035,1.453142,4.080157,6.106365,7.914656,9.916762,10.94012,12.27304,13.11821,13.30709,12.76786,12.2485,11.47356,9.993743,7.662156,5.403619,1.519168,-1.7201,-3.96036,-9.01548,-12.1163,-19.3684,-15.8449,-14.8465,-18.9556,-19.8575,-13.2567,-9.49113,-8.14074,-9.22046,-13.0215,-12.1536,-10.811,-10.3476,-11.3636,-7.27345,-6.34037,-10.5471,-8.56308,-5.64956,-7.52123,-9.29128,-13.3987,-22.781,-16.4379,-15.0805,-22.0826,-19.2977,-17.9079
179,60,-14.0019,-12.4257,-8.50129,-10.6816,-9.22204,-7.22603,-3.4938,-4.12486,-6.94678,-6.64234,-4.49878,-5.798,-7.72436,-7.87112,-6.79925,-9.54299,-18.2304,-14.0709,-11.4087,-12.0662,-6.57514,-4.12534,-1.21695,2.454819,4.787752,6.782927,8.913406,10.5854,11.74236,12.84421,13.59607,13.56693,12.92503,12.48305,11.61289,10.00461,7.484087,5.180256,1.421672,-1.25303,-4.09064,-8.71961,-10.986,-13.6081,-15.7263,-15.4134,-18.1537,-28.2682,-17.0077,-9.87289,-8.72437,-13.3982,-10.6339,-8.85943,-7.61283,-7.69063,-7.33494,-6.73526,-5.04878,-7.31991,-12.4802,-9.39785,-11.1885,-13.8143,-15.5552,-17.9462,-14.8439,-19.742,-18.1158,-19.84,-14.7481
180,65,-12.7062,-9.93484,-7.60172,-8.63998,-6.46588,-5.69971,-3.23153,-4.04959,-6.0704,-6.55988,-5.33308,-8.36663,-5.91611,-9.56922,-12.8866,-12.4957,-11.4408,-8.2863,-9.21819,-8.50734,-5.47741,-3.6081,0.056183,2.86589,5.42134,7.760526,9.91308,11.2577,12.5094,13.40047,14.01484,13.74984,13.20779,12.70092,11.62724,9.988663,7.435286,5.057138,1.438899,-0.77674,-3.69262,-8.08904,-11.0038,-12.8606,-12.9562,-12.4198,-11.6648,-18.6757,-15.1103,-12.8426,-8.26193,-12.1617,-7.25607,-5.84423,-5.24104,-5.93124,-5.73897,-7.77441,-6.99907,-6.36089,-10.215,-12.8342,-21.7227,-18.069,-18.796,-21.7433,-15.2403,-18.4701,-15.5597,-19.108,-12.358
181,70,-9.72174,-8.89083,-6.62711,-6.59524,-6.06128,-5.10981,-3.52303,-2.4415,-3.50256,-4.31699,-6.60653,-6.03973,-4.58392,-8.8303,-10.2133,-14.4619,-9.23143,-8.53061,-6.97775,-5.76208,-3.80643,-1.93109,1.534255,4.003821,6.696558,9.052453,10.90234,12.11091,13.34218,13.8475,14.32255,13.90541,13.48717,12.93575,11.82156,10.03765,7.440023,5.081305,1.612562,-0.71025,-2.71146,-7.01196,-10.0462,-11.7299,-11.2272,-12.9779,-9.2602,-12.9292,-14.9181,-12.7298,-9.08672,-8.5227,-8.65475,-4.16871,-5.26168,-4.6645,-5.29752,-7.67059,-7.81637,-6.75075,-6.07031,-8.74322,-16.6499,-12.8976,-15.7905,-18.5044,-13.1691,-15.1777,-13.8689,-15.8653,-11.6117
182,75,-9.37984,-7.44459,-6.2363,-6.06759,-5.44329,-5.11618,-3.06076,-1.37093,-2.90538,-4.48824,-6.03962,-5.42173,-5.67762,-7.23347,-7.6118,-9.62024,-11.5668,-10.6504,-7.47792,-5.88745,-3.88912,-0.83865,2.246148,4.923656,7.904133,9.858201,11.43413,12.77502,13.78245,14.16522,14.49862,14.08258,13.62097,13.05193,11.75904,10.07517,7.548852,4.985693,1.301073,-0.5673,-1.94419,-6.15363,-9.41168,-11.7492,-11.6282,-15.2571,-7.79022,-9.40779,-12.2525,-8.34371,-9.15333,-6.70496,-9.67936,-5.09396,-6.33724,-5.57392,-5.72637,-6.28133,-5.80515,-4.73098,-3.59809,-4.27917,-9.10293,-8.61629,-11.2154,-17.5241,-10.8062,-12.4938,-12.1448,-11.8375,-11.3303
183,80,-9.61484,-6.46892,-6.69383,-7.06132,-5.76148,-5.42299,-2.79454,-1.69024,-3.46967,-6.38002,-6.02109,-7.27431,-7.29617,-7.4354,-10.3424,-8.46403,-14.7405,-11.6549,-7.59975,-5.17824,-4.85005,-0.69292,1.582417,5.503591,8.198124,10.15831,11.81446,13.11475,14.08409,14.45451,14.73978,14.21146,13.66894,13.09845,11.78882,9.970754,7.555383,5.009942,1.164946,-0.86825,-2.09055,-5.84982,-9.3614,-11.3323,-13.6862,-12.8624,-8.50336,-10.0198,-9.93853,-8.40912,-7.02585,-6.59048,-6.75194,-5.66563,-7.50714,-7.1057,-5.33298,-5.51681,-4.59095,-4.35366,-4.44827,-3.87579,-5.73798,-8.00578,-9.6494,-14.0041,-10.2652,-10.4876,-11.6779,-10.7226,-9.59565
184,85,-8.15523,-7.48887,-7.54568,-8.14952,-5.97425,-6.46706,-3.98518,-3.12839,-3.7535,-3.21037,-4.94733,-8.27932,-6.91394,-7.08307,-9.56032,-8.77073,-19.7498,-11.8709,-7.22306,-2.86654,-4.09142,-0.29748,2.256193,6.099718,8.258812,10.36238,11.87159,13.19981,14.1382,14.61423,14.85396,14.13954,13.66543,13.12383,11.74652,10.0829,7.693926,5.099216,0.800119,-1.56831,-2.68975,-5.36523,-11.5283,-12.7853,-15.7357,-12.4602,-10.6376,-13.4235,-9.10046,-8.44481,-8.43146,-7.14401,-7.96143,-6.36658,-6.75096,-6.99673,-4.81499,-4.69321,-4.28768,-4.80536,-4.84413,-4.85252,-8.21748,-10.0144,-10.0165,-10.7609,-9.70713,-10.3752,-11.013,-12.0965,-8.14883
185,90,-11.7658,-6.927,-7.55195,-8.4086,-5.76157,-7.49441,-4.84373,-3.32203,-3.21574,-1.85331,-3.94992,-5.20649,-6.25762,-5.13915,-6.46436,-10.9666,-11.7206,-11.1246,-7.27473,-3.56837,-2.5567,0.321883,2.930917,6.609563,8.628026,10.54419,11.91297,13.09103,14.06514,14.58597,14.87199,14.00984,13.63573,13.05572,11.74813,10.06026,7.649478,5.221404,0.786425,-2.44227,-3.35489,-5.54978,-14.5345,-18.2372,-15.5449,-13.3245,-13.1346,-11.7889,-10.2338,-8.34406,-12.9763,-6.17529,-10.4918,-5.82354,-7.17442,-6.03155,-6.56551,-3.01205,-3.55542,-4.3105,-4.43689,-5.7188,-12.6567,-12.123,-11.5664,-11.0008,-9.27011,-10.9592,-12.0309,-14.806,-7.77391
